order_id,order_status,customer,order_date,order_quantity,sales,discount,discount_value,product_category,product_sub_category,net_sales
3.0,Order Finished,Muhammed MacIntyre,2010-10-13,6.0,523080.0,0.04,20923.0,Office Supplies,Storage & Organization,502157.0
293.0,Order Finished,Barry French,2012-10-01,49.0,20246040.0,0.07,1417223.0,Office Supplies,Appliances,18828817.0
483.0,Order Finished,Clay Rozendal,2011-07-10,30.0,9931519.0,0.08,794522.0,Technology,Telephones and Communication,9136997.0
515.0,Order Finished,Carlos Soltero,2010-08-28,19.0,788540.0,0.08,63083.0,Office Supplies,Appliances,725457.0
613.0,Order Finished,Carl Jackson,2011-06-17,12.0,187080.0,0.03,5612.0,Office Supplies,Binders and Binder Accessories,181468.0
643.0,Order Finished,Monica Federle,2011-03-24,21.0,5563640.0,0.07,389455.0,Office Supplies,Storage & Organization,5174185.0
678.0,Order Returned,Dorothy Badders,2010-02-26,44.0,456820.0,0.07,31977.0,Office Supplies,Paper,424843.0
807.0,Order Finished,Neola Schneider,2010-11-23,45.0,393700.0,0.01,3937.0,Office Supplies,Paper,389763.0
868.0,Order Finished,Carlos Daly,2012-06-08,32.0,1433680.0,0.0,0.0,Office Supplies,Appliances,1433680.0
933.0,Order Finished,Claudia Miner,2012-08-04,15.0,161220.0,0.02,3224.0,Office Supplies,Binders and Binder Accessories,157996.0
995.0,Order Finished,Neola Schneider,2011-05-30,46.0,3630980.0,0.03,108929.0,Furniture,Office Furnishings,3522051.0
998.0,Order Finished,Allen Rosenblatt,2009-11-25,16.0,496520.0,0.07,34756.0,Office Supplies,Envelopes,461764.0
1154.0,Order Finished,Sylvia Foulston,2012-02-14,44.0,8924460.0,0.04,356978.0,Furniture,Bookcases,8567482.0
1344.0,Order Finished,Jim Radford,2012-04-15,15.0,1669808.0,0.06,100188.0,Technology,Telephones and Communication,1569620.0
1412.0,Order Finished,Carlos Soltero,2010-03-12,13.0,118060.0,0.1,11806.0,Office Supplies,Labels,106254.0
1539.0,Order Finished,Carl Ludwig,2011-03-09,33.0,1023660.0,0.1,102366.0,Office Supplies,Binders and Binder Accessories,921294.0
1540.0,Order Finished,Don Miller,2012-08-04,30.0,161800.0,0.09,14562.0,Office Supplies,Pens & Art Supplies,147238.0
1702.0,Order Finished,Annie Cyprus,2011-05-06,23.0,134480.0,0.06,8069.0,Office Supplies,Pens & Art Supplies,126411.0
1761.0,Order Finished,Carl Ludwig,2010-12-23,25.0,24056460.0,0.01,240565.0,Technology,Copiers and Fax,23815895.0
1792.0,Order Finished,Carlos Soltero,2010-11-08,28.0,740960.0,0.04,29638.0,Office Supplies,Storage & Organization,711322.0
2275.0,Order Finished,Grant Carroll,2012-10-21,49.0,556000.0,0.08,44480.0,Office Supplies,Pens & Art Supplies,511520.0
2277.0,Order Finished,Don Miller,2011-01-01,10.0,133080.0,0.01,1331.0,Technology,Computer Peripherals,131749.0
2532.0,Order Finished,Alan Barnes,2011-10-10,39.0,564140.0,0.03,16924.0,Office Supplies,Labels,547216.0
2631.0,Order Finished,Jack Garza,2010-09-23,27.0,2156980.0,0.08,172558.0,Technology,Computer Peripherals,1984422.0
2757.0,Order Finished,Julia West,2011-07-19,39.0,7108920.0,0.07,497624.0,Furniture,Chairs & Chairmats,6611296.0
2791.0,Order Finished,Eugene Barchas,2009-10-09,47.0,383340.0,0.0,0.0,Office Supplies,Binders and Binder Accessories,383340.0
2976.0,Order Finished,Edward Hooks,2010-12-09,30.0,28447640.0,0.09,2560288.0,Furniture,Chairs & Chairmats,25887352.0
3232.0,Order Finished,Brad Eason,2012-10-08,5.0,85320.0,0.06,5119.0,Office Supplies,Binders and Binder Accessories,80201.0
3524.0,Order Finished,Nicole Hansen,2012-05-02,21.0,854640.0,0.0,0.0,Office Supplies,Paper,854640.0
3908.0,Order Finished,Dorothy Wardle,2010-03-08,8.0,1640568.0,0.0,0.0,Technology,Telephones and Communication,1640568.0
4132.0,Order Finished,Aaron Bergman,2011-05-28,5.0,29520.0,0.01,295.0,Office Supplies,Labels,29225.0
4612.0,Order Finished,Jim Radford,2010-09-19,9.0,179100.0,0.06,10746.0,Office Supplies,Appliances,168354.0
4676.0,Order Finished,Annie Cyprus,2011-08-31,11.0,2420103.0,0.04,96804.0,Technology,Telephones and Communication,2323299.0
5284.0,Order Finished,Annie Cyprus,2011-07-08,7.0,118760.0,0.1,11876.0,Office Supplies,Binders and Binder Accessories,106884.0
5316.0,Order Finished,Clay Rozendal,2009-01-30,42.0,2570740.0,0.1,257074.0,Technology,Computer Peripherals,2313666.0
5409.0,Order Finished,Don Jones,2012-01-08,11.0,97820.0,0.01,978.0,Office Supplies,Paper,96842.0
5506.0,Order Finished,Beth Thompson,2010-11-07,22.0,259240.0,0.05,12962.0,Office Supplies,Paper,246278.0
5569.0,Order Finished,Frank Price,2010-04-29,12.0,237940.0,0.09,21415.0,Furniture,Office Furnishings,216525.0
5607.0,Order Finished,Michelle Lonsdale,2011-12-31,8.0,123743.0,0.0,0.0,Technology,Telephones and Communication,123743.0
5894.0,Order Finished,Ann Chong,2009-08-12,7.0,768660.0,0.1,76866.0,Office Supplies,Binders and Binder Accessories,691794.0
5925.0,Order Finished,Joy Bell,2011-11-12,44.0,7844840.0,0.08,627587.0,Furniture,Office Furnishings,7217253.0
6016.0,Order Finished,Skye Norling,2012-01-20,19.0,416560.0,0.07,29159.0,Office Supplies,Paper,387401.0
6182.0,Order Finished,Grant Carroll,2012-07-21,40.0,510960.0,0.04,20438.0,Office Supplies,Paper,490522.0
6535.0,Order Finished,Adrian Hane,2012-06-12,11.0,624720.0,0.07,43730.0,Office Supplies,Pens & Art Supplies,580990.0
6884.0,Order Finished,Skye Norling,2009-01-15,41.0,434000.0,0.01,4340.0,Office Supplies,Paper,429660.0
6916.0,Order Finished,Andrew Gjertsen,2010-06-04,40.0,872340.0,0.08,69787.0,Office Supplies,Storage & Organization,802553.0
6980.0,Order Finished,Ralph Knight,2010-02-18,18.0,272580.0,0.05,13629.0,Office Supplies,Binders and Binder Accessories,258951.0
6982.0,Order Finished,Dorothy Wardle,2011-11-16,32.0,2622500.0,0.0,0.0,Technology,Computer Peripherals,2622500.0
7110.0,Order Finished,Grant Carroll,2011-08-07,22.0,12792400.0,0.02,255848.0,Furniture,Chairs & Chairmats,12536552.0
7430.0,Order Finished,Barry Weirich,2010-06-08,50.0,1503540.0,0.05,75177.0,Office Supplies,Envelopes,1428363.0
7906.0,Order Finished,Beth Paige,2009-10-17,37.0,2006120.0,0.03,60184.0,Office Supplies,Appliances,1945936.0
8391.0,Order Finished,Sylvia Foulston,2011-08-28,4.0,2533440.0,0.04,101338.0,Furniture,Chairs & Chairmats,2432102.0
8419.0,Order Finished,Nicole Hansen,2011-09-29,19.0,736080.0,0.07,51526.0,Office Supplies,Paper,684554.0
8833.0,Order Finished,Nicole Hansen,2012-05-04,40.0,6677960.0,0.0,0.0,Office Supplies,Storage & Organization,6677960.0
8995.0,Order Finished,Beth Paige,2011-05-17,5.0,48320.0,0.08,3866.0,Office Supplies,Binders and Binder Accessories,44454.0
9126.0,Order Finished,Sylvia Foulston,2009-11-17,47.0,5599400.0,0.04,223976.0,Office Supplies,Appliances,5375424.0
9127.0,Order Finished,Bryan Davis,2011-10-10,7.0,4079120.0,0.04,163165.0,Office Supplies,Storage & Organization,3915955.0
9509.0,Order Finished,Joy Bell,2012-10-07,36.0,24351640.0,0.02,487033.0,Furniture,Chairs & Chairmats,23864607.0
9763.0,Order Finished,Alan Barnes,2011-08-13,44.0,352520.0,0.07,24676.0,Office Supplies,Labels,327844.0
9927.0,Order Returned,Grant Carroll,2011-08-16,32.0,9310140.0,0.0,0.0,Furniture,Bookcases,9310140.0
10022.0,Order Finished,Delfina Latchford,2009-03-04,1.0,24360.0,0.06,1462.0,Office Supplies,Paper,22898.0
10437.0,Order Finished,Don Jones,2009-08-18,50.0,1641040.0,0.01,16410.0,Office Supplies,Binders and Binder Accessories,1624630.0
10499.0,Order Finished,Doug Bickford,2010-11-16,29.0,12501872.0,0.01,125019.0,Furniture,Tables,12376853.0
10535.0,Order Finished,Doug Bickford,2011-05-27,25.0,1709760.0,0.09,153878.0,Furniture,Office Furnishings,1555882.0
10789.0,Order Finished,Jamie Kunitz,2010-08-23,15.0,617080.0,0.0,0.0,Office Supplies,Pens & Art Supplies,617080.0
10791.0,Order Finished,Anthony Johnson,2011-08-19,20.0,801140.0,0.05,40057.0,Office Supplies,Paper,761083.0
10945.0,Order Finished,Ralph Knight,2012-01-03,14.0,2340050.0,0.04,93602.0,Technology,Telephones and Communication,2246448.0
11137.0,Order Finished,Allen Rosenblatt,2012-11-29,48.0,10377720.0,0.1,1037772.0,Office Supplies,Storage & Organization,9339948.0
11202.0,Order Finished,Barry Weirich,2012-03-17,8.0,679620.0,0.05,33981.0,Office Supplies,Binders and Binder Accessories,645639.0
11456.0,Order Finished,Doug Bickford,2010-04-12,15.0,3039800.0,0.09,273582.0,Furniture,Office Furnishings,2766218.0
11460.0,Order Finished,Carl Jackson,2010-08-24,30.0,204480.0,0.09,18403.0,Office Supplies,Labels,186077.0
11495.0,Order Finished,Brendan Dodson,2011-07-04,6.0,1931380.0,0.0,0.0,Furniture,Tables,1931380.0
11911.0,Order Returned,Edward Hooks,2010-11-10,25.0,795680.0,0.0,0.0,Office Supplies,Binders and Binder Accessories,795680.0
11941.0,Order Finished,Jamie Kunitz,2010-06-24,4.0,146140.0,0.08,11691.0,Office Supplies,Storage & Organization,134449.0
12096.0,Order Returned,Michelle Lonsdale,2012-09-19,46.0,16019185.0,0.02,320384.0,Technology,Telephones and Communication,15698801.0
12289.0,Order Finished,Brendan Dodson,2011-12-24,25.0,6038820.0,0.04,241553.0,Technology,Office Machines,5797267.0
12352.0,Order Finished,Hunter Glantz,2012-03-23,5.0,73720.0,0.07,5160.0,Office Supplies,Binders and Binder Accessories,68560.0
12419.0,Order Finished,Sylvia Foulston,2011-10-15,12.0,44158940.0,0.06,2649536.0,Technology,Office Machines,41509404.0
12485.0,Order Finished,Eugene Barchas,2010-08-07,24.0,10814620.0,0.04,432585.0,Furniture,Chairs & Chairmats,10382035.0
12544.0,Order Finished,Jim Radford,2009-03-03,34.0,148600.0,0.08,11888.0,Furniture,Office Furnishings,136712.0
12704.0,Order Returned,Carlos Soltero,2010-02-09,44.0,43013540.0,0.06,2580812.0,Technology,Copiers and Fax,40432728.0
12771.0,Order Finished,Carlos Soltero,2009-01-17,40.0,2286980.0,0.08,182958.0,Office Supplies,Labels,2104022.0
12929.0,Order Finished,Jim Radford,2010-08-30,19.0,10594940.0,0.02,211899.0,Furniture,Chairs & Chairmats,10383041.0
13280.0,Order Finished,Grant Carroll,2009-09-11,40.0,921360.0,0.01,9214.0,Office Supplies,Storage & Organization,912146.0
13313.0,Order Finished,Skye Norling,2009-07-16,47.0,2041220.0,0.04,81649.0,Office Supplies,Appliances,1959571.0
13346.0,Order Finished,Doug Bickford,2012-11-15,44.0,536680.0,0.09,48301.0,Office Supplies,Paper,488379.0
13702.0,Order Finished,Grant Carroll,2011-09-10,6.0,418000.0,0.08,33440.0,Office Supplies,Paper,384560.0
13795.0,Order Finished,Muhammed MacIntyre,2011-04-10,30.0,1002640.0,0.04,40106.0,Office Supplies,Binders and Binder Accessories,962534.0
14116.0,Order Finished,Doug Bickford,2011-10-09,1.0,80200.0,0.09,7218.0,Office Supplies,Binders and Binder Accessories,72982.0
14372.0,Order Finished,Beth Thompson,2012-10-23,34.0,10701220.0,0.09,963110.0,Furniture,Bookcases,9738110.0
14726.0,Order Finished,Ralph Knight,2012-01-08,15.0,621740.0,0.07,43522.0,Technology,Computer Peripherals,578218.0
14819.0,Order Finished,Carl Jackson,2010-01-25,48.0,18125460.0,0.09,1631291.0,Office Supplies,Appliances,16494169.0
15106.0,Order Returned,Dorothy Badders,2011-01-27,42.0,567160.0,0.03,17015.0,Furniture,Office Furnishings,550145.0
15108.0,Order Finished,Delfina Latchford,2009-08-27,50.0,4132320.0,0.02,82646.0,Office Supplies,Paper,4049674.0
15205.0,Order Finished,Julia West,2011-03-17,18.0,9210720.0,0.02,184214.0,Furniture,Chairs & Chairmats,9026506.0
15591.0,Order Finished,Brad Eason,2012-06-06,31.0,852680.0,0.0,0.0,Furniture,Office Furnishings,852680.0
15907.0,Order Finished,Thomas Seio,2011-04-11,36.0,3674880.0,0.01,36749.0,Furniture,Bookcases,3638131.0
15937.0,Order Finished,Monica Federle,2012-11-06,32.0,622880.0,0.04,24915.0,Technology,Computer Peripherals,597965.0
16039.0,Order Finished,Michelle Lonsdale,2012-05-16,3.0,242240.0,0.1,24224.0,Technology,Computer Peripherals,218016.0
16193.0,Order Finished,Frank Price,2012-04-09,8.0,600400.0,0.0,0.0,Office Supplies,Storage & Organization,600400.0
16423.0,Order Finished,Bryan Davis,2012-08-05,19.0,256420.0,0.05,12821.0,Office Supplies,Paper,243599.0
16451.0,Order Finished,Don Jones,2009-07-22,9.0,505580.0,0.09,45502.0,Office Supplies,Binders and Binder Accessories,460078.0
16545.0,Order Finished,Carlos Soltero,2010-05-09,10.0,101940.0,0.09,9175.0,Office Supplies,Pens & Art Supplies,92765.0
16547.0,Order Finished,Nicole Hansen,2009-02-18,30.0,21109260.0,0.09,1899833.0,Furniture,Chairs & Chairmats,19209427.0
16706.0,Order Finished,Beth Thompson,2012-06-27,47.0,3887440.0,0.03,116623.0,Furniture,Office Furnishings,3770817.0
16741.0,Order Finished,Nicole Hansen,2010-09-30,6.0,315940.0,0.01,3159.0,Office Supplies,Paper,312781.0
16932.0,Order Finished,Carlos Soltero,2010-04-15,25.0,289680.0,0.09,26071.0,Office Supplies,Paper,263609.0
17283.0,Order Finished,Dorothy Badders,2011-09-14,4.0,10944240.0,0.06,656654.0,Technology,Office Machines,10287586.0
17286.0,Order Finished,Muhammed MacIntyre,2010-09-21,7.0,3621340.0,0.09,325921.0,Furniture,Chairs & Chairmats,3295419.0
17409.0,Order Finished,Muhammed MacIntyre,2010-08-17,31.0,1267120.0,0.09,114041.0,Technology,Computer Peripherals,1153079.0
17764.0,Order Finished,Don Miller,2009-09-16,27.0,1288800.0,0.04,51552.0,Office Supplies,Paper,1237248.0
18080.0,Order Finished,Sylvia Foulston,2009-06-22,7.0,2423960.0,0.1,242396.0,Furniture,Chairs & Chairmats,2181564.0
18113.0,Order Finished,Becky Castell,2012-08-28,27.0,6632160.0,0.08,530573.0,Furniture,Chairs & Chairmats,6101587.0
18144.0,Order Finished,Dorothy Wardle,2011-06-07,48.0,414160.0,0.09,37274.0,Office Supplies,Paper,376886.0
18308.0,Order Finished,Ann Chong,2009-10-09,30.0,228240.0,0.05,11412.0,Office Supplies,Binders and Binder Accessories,216828.0
18887.0,Order Finished,Clay Rozendal,2010-12-05,9.0,346834.0,0.0,0.0,Technology,Telephones and Communication,346834.0
19010.0,Order Returned,Grant Carroll,2009-06-07,18.0,47585860.0,0.0,0.0,Office Supplies,Binders and Binder Accessories,47585860.0
19078.0,Order Returned,Brendan Dodson,2009-07-27,21.0,512240.0,0.03,15367.0,Office Supplies,Appliances,496873.0
19138.0,Order Returned,Carlos Daly,2011-09-05,30.0,774000.0,0.01,7740.0,Office Supplies,Storage & Organization,766260.0
19655.0,Order Finished,Alan Barnes,2009-01-11,31.0,2286900.0,0.06,137214.0,Technology,Computer Peripherals,2149686.0
19686.0,Order Finished,Alan Barnes,2010-08-15,2.0,84620.0,0.06,5077.0,Technology,Office Machines,79543.0
20007.0,Order Finished,Nicole Hansen,2009-08-05,49.0,165220.0,0.08,13218.0,Office Supplies,Pens & Art Supplies,152002.0
20071.0,Order Finished,Cari Schnelling,2011-09-17,31.0,1579880.0,0.1,157988.0,Furniture,Chairs & Chairmats,1421892.0
20160.0,Order Finished,Chad Cunningham,2011-10-22,42.0,870480.0,0.08,69638.0,Office Supplies,Paper,800842.0
20263.0,Order Finished,Bryan Mills,2009-11-14,8.0,947400.0,0.05,47370.0,Office Supplies,Binders and Binder Accessories,900030.0
21285.0,Order Finished,Adrian Hane,2010-07-03,32.0,109560.0,0.02,2191.0,Office Supplies,Pens & Art Supplies,107369.0
21383.0,Order Returned,Rick Reed,2009-01-30,31.0,32133700.0,0.07,2249359.0,Technology,Office Machines,29884341.0
21607.0,Order Finished,Heather Kirkland,2012-03-15,17.0,1237800.0,0.09,111402.0,Office Supplies,Pens & Art Supplies,1126398.0
21636.0,Order Finished,Fred Wasserman,2009-08-10,35.0,3330079.0,0.02,66602.0,Technology,Telephones and Communication,3263477.0
21889.0,Order Finished,Becky Castell,2010-04-01,21.0,2099580.0,0.08,167966.0,Furniture,Office Furnishings,1931614.0
22151.0,Order Finished,Beth Thompson,2010-07-31,49.0,931660.0,0.1,93166.0,Furniture,Office Furnishings,838494.0
22342.0,Order Finished,Claudia Miner,2009-05-29,13.0,483412.0,0.0,0.0,Technology,Telephones and Communication,483412.0
22469.0,Order Finished,Jack Lebron,2010-10-11,44.0,551820.0,0.1,55182.0,Technology,Telephones and Communication,496638.0
22501.0,Order Finished,Alan Barnes,2010-05-18,2.0,61660.0,0.04,2466.0,Office Supplies,Envelopes,59194.0
22532.0,Order Finished,Carlos Soltero,2011-02-08,13.0,243320.0,0.03,7300.0,Office Supplies,Binders and Binder Accessories,236020.0
23264.0,Order Finished,Clay Rozendal,2010-12-07,16.0,216840.0,0.02,4337.0,Office Supplies,Paper,212503.0
23488.0,Order Returned,Julia West,2009-01-06,30.0,52266780.0,0.04,2090671.0,Furniture,Bookcases,50176109.0
